ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1058,15,5,4,2,4,3,63.63636363636363,45.86499410454605,1,25.744444444446568
1059,13,2,5,2,4,4,66.66666666666666,50.81357264509367,1,26.699999999999502
1060,13,2,5,3,3,4,66.66666666666666,52.47641818420018,1,32.199999999997786
1061,12,2,4,3,3,4,66.66666666666666,53.24217214725534,1,13.490909090909664
1067,9,1,2,2,4,1,55.55555555555556,38.963035141761495,1,14.76363636363498
1071,4,1,1,1,1,1,55.55555555555556,43.153957377255296,1,12.900000000000134
1072,6,1,3,1,1,1,55.55555555555556,42.94870182938329,1,51.699999999998965
1073,4,1,2,0,1,1,55.55555555555556,41.712767963789524,1,0.9090909090914145
1074,4,1,2,0,1,1,55.55555555555556,40.41900661425184,1,2.1999999999988695
1093,19,4,4,6,5,3,60.0,41.76313250898887,1,14.74444444444556
1094,19,4,4,6,5,1,60.0,27.048108722612653,1,34.000000000000696
1095,17,4,4,5,4,1,60.0,32.82323365969833,1,48.99999999999905
1096,15,4,4,4,3,1,60.0,36.50304313310399,1,61.099999999998374
1099,9,3,4,2,0,1,55.55555555555556,37.43000793860809,1,67.24444444444532
1100,7,3,4,0,0,1,55.55555555555556,35.91876157713681,1,23.14285714285713
1115,43,11,6,12,14,8,72.22222222222223,36.51326762699014,1,13.800000000001589
1116,44,11,10,11,12,8,72.22222222222223,36.73591104371999,1,90.71111111111252
1117,45,11,12,10,12,11,82.3529411764706,37.69396007076068,1,99.0000000000002
1118,43,11,11,10,11,11,82.3529411764706,40.315390447308566,1,79.80000000000098
1119,39,10,11,8,10,11,82.3529411764706,45.18599949456659,1,22.14285714285502
1120,36,10,11,6,9,11,82.3529411764706,47.02451352034369,1,32.76666666666594
1131,21,4,5,7,5,6,71.42857142857143,44.58792041207958,1,16.899999999997473
1132,22,4,6,7,5,5,69.23076923076923,46.27133622866377,1,47.74285714285842
1135,23,5,5,4,9,7,81.81818181818181,45.298601645716595,1,3.9636363636375016
1136,24,6,5,4,9,7,81.81818181818181,41.99278105911455,1,6.809090909092319
1137,18,4,4,3,7,6,80.0,40.42783583219749,1,1.2000000000012
1138,17,4,5,2,6,5,77.77777777777777,37.11620980362461,1,25.599999999998957
1140,15,3,4,4,4,5,77.77777777777777,40.49917247901643,1,0.7666666666650279
1141,11,2,2,4,3,2,60.0,42.70865350514245,1,16.799999999999038
1142,10,2,2,3,3,2,60.0,41.33933242649367,1,24.72222222221987
1143,8,2,3,1,2,2,60.0,46.33750130794183,1,30.09999999999957
1144,7,2,3,0,2,1,55.55555555555556,47.42832478811343,1,40.1499999999988
1199,21,6,4,6,5,2,58.33333333333333,26.604628110473065,1,29.26666666666522
1200,18,4,4,6,4,2,58.33333333333333,27.186901832102816,1,31.027272727273125
1201,17,5,4,5,3,2,58.33333333333333,28.002290128520645,1,49.14444444444443
1202,19,6,5,5,3,2,58.33333333333333,29.22221082854799,1,76.79999999999909
