ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
2339,16,5,5,2,4,2,66.66666666666666,60.55837563451776,1,70.00000000000006
2340,12,3,5,2,2,2,66.66666666666666,62.41539763113367,1,38.076923076922895
2341,10,3,4,1,2,3,80.0,64.37394247038917,1,33.74285714285663
2342,8,3,3,0,2,3,80.0,60.451306413301666,1,24.957142857143786
2343,5,2,2,0,1,2,75.0,65.3483768804434,1,28.869230769231756
2365,12,3,2,3,4,2,62.50000000000001,37.89680804547442,1,1.871428571429412
2367,16,5,5,3,3,1,55.55555555555556,46.841743119266056,1,51.172727272726924
2368,14,5,5,2,2,3,66.66666666666666,48.103211009174316,1,35.799999999999166
2369,13,5,4,2,2,3,66.66666666666666,45.71788990825688,1,29.261538461538006
2370,8,2,4,0,2,3,66.66666666666666,44.49243098842386,1,27.53846153846218
2371,6,2,3,0,1,3,66.66666666666666,43.69545859305432,1,18.799999999999926
2398,12,4,2,3,3,2,62.50000000000001,40.1951581027668,1,9.099999999999664
2399,11,3,2,3,3,1,55.55555555555556,53.107814761215636,1,36.72222222222299
2400,11,3,5,2,1,1,55.55555555555556,52.79401022644266,1,78.7090909090915
2401,9,3,4,2,0,1,55.55555555555556,54.054054054054056,1,61.04285714285673
2402,5,3,2,0,0,1,55.55555555555556,37.83730158730159,1,42.10000000000047
2422,10,3,4,1,2,2,60.0,39.99118165784832,1,35.74444444444546
2423,9,2,4,1,2,3,66.66666666666666,36.8694885361552,1,32.400000000000205
2424,5,1,3,1,0,2,62.50000000000001,44.88649592549476,1,17.94545454545493
2425,5,1,3,1,0,2,62.50000000000001,44.74970896391152,1,27.399999999999647
2436,14,3,4,3,4,4,75.0,40.56664867781976,1,57.166666666667034
2437,15,3,5,3,4,8,83.33333333333333,22.876159138498355,1,23.8285714285702
2448,27,6,6,8,7,11,84.61538461538461,28.72758194186765,0,0.0
2449,28,6,6,9,7,10,83.33333333333333,29.15120593692022,0,0.0
2450,31,7,7,10,7,9,90.9090909090909,29.918058132343845,0,0.0
2451,28,7,7,6,8,9,90.9090909090909,32.74945601492073,0,0.0
2452,28,8,7,4,9,7,76.92307692307693,33.36493627603357,0,0.0
2453,23,5,7,4,7,7,76.92307692307693,33.23748834317687,0,0.0
2454,21,4,7,4,6,7,76.92307692307693,33.53124028598073,0,0.0
2455,20,4,7,4,5,5,69.23076923076923,33.31830898352502,0,0.0
2456,18,4,8,1,5,6,71.42857142857143,33.22039166925707,0,0.0
2457,9,4,4,1,0,1,54.54545454545455,34.55393223500155,0,0.0
2504,18,3,4,5,6,4,75.0,51.548913043478265,1,7.6666666666669325
2505,14,4,2,5,3,2,66.66666666666666,50.541213768115945,1,4.163636363636591
