weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
18,6,5,7,0,7,58.13953488372093,27.69448158502492,1,12.285714285715787
18,3,4,5,6,6,65.0,33.46581924340104,1,41.20000000000124
26,8,9,9,0,2,51.92307692307693,36.82546829971181,1,111.29999999999862
21,5,8,1,7,8,68.18181818181819,31.97114762582482,1,28.311111111110066
14,3,3,4,4,3,71.42857142857143,37.2951036030091,1,3.7999999999982492
12,2,3,4,3,1,52.94117647058823,34.64525765496639,1,14.799999999999258
12,2,3,4,3,2,55.55555555555556,38.167008961911876,1,5.345454545455652
15,4,5,3,3,2,55.55555555555556,39.17755787901419,1,54.22857142857174
19,8,9,2,0,2,51.92307692307693,38.458813640730064,1,124.24999999999909
21,4,5,5,7,7,66.66666666666666,30.747832837365763,1,59.23333333333281
23,4,6,6,7,7,66.66666666666666,30.660175960667612,1,61.14285714285739
17,0,8,2,7,9,71.42857142857143,34.39368338965428,1,31.89999999999804
16,4,5,4,3,2,55.55555555555556,39.26017550410755,1,71.43333333333501
13,4,5,3,1,1,53.33333333333333,29.18606741573034,1,83.53333333333435
20,5,8,0,7,8,68.18181818181819,30.88821322292664,1,99.1333333333344
31,8,6,9,8,5,69.23076923076923,42.49849170437406,1,44.200000000000905
33,8,9,9,7,9,76.47058823529412,46.917797888386126,1,2.9714285714277366
32,8,8,9,7,9,76.47058823529412,51.0,1,8.576923076923926
19,2,6,2,9,7,70.58823529411765,54.085811384876806,1,8.399999999999519
20,6,3,6,5,2,55.0,35.146703486365205,1,9.399999999999409
20,6,3,6,5,1,52.631578947368425,34.67621677597515,1,8.933333333334126
10,6,2,0,2,3,61.53846153846154,32.83924458774758,1,15.409090909088707
10,5,2,1,2,4,62.50000000000001,30.028097650852143,1,7.145454545454122
22,6,5,6,5,5,66.66666666666666,32.33931653434588,1,53.90000000000006
30,10,7,8,5,1,51.85185185185185,38.254688445251055,1,90.99999999999886
20,6,7,4,3,4,64.28571428571428,29.2019145902641,1,67.39999999999746
10,4,3,1,2,3,63.63636363636363,47.2612168592794,1,3.4454545454565277
47,13,4,18,12,7,58.53658536585366,21.8916166380789,1,13.266666666666982
28,17,7,2,2,5,54.90196078431373,35.31276801029159,1,36.49999999999709
21,12,6,1,2,5,54.90196078431373,38.31073113207547,1,22.999999999999687
50,14,9,19,8,3,53.65853658536585,26.661931818181817,1,156.8999999999998
52,19,12,17,4,9,59.57446808510638,30.8428923670669,1,83.59999999999923
35,19,10,3,3,4,54.0,32.439429674099486,1,128.21818181818267
49,13,9,18,9,5,56.41025641025641,25.29909948542024,1,130.47142857142813
47,14,10,19,4,5,55.81395348837209,28.02824828473413,1,142.31111111111085
48,10,16,6,16,17,90.47619047619048,56.36940298507462,1,37.57142857142792
22,3,7,3,9,12,87.5,55.78339290167068,1,11.299999999998533
13,1,4,3,5,4,64.28571428571428,41.592176513375904,1,59.59999999999965
24,3,10,1,10,14,88.88888888888889,57.78738259496301,1,25.218181818182916
9,3,3,3,0,5,66.66666666666666,32.30552591011502,1,22.400000000000198
9,3,3,3,0,4,62.50000000000001,36.713802917111344,1,37.44999999999887
