ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1839,-61,-12,-12,-16,-21,-19,19.354838709677423,52.03651685393258,1,50.3000000000009
1840,-66,-13,-13,-17,-23,-20,18.75,54.969749351771824,1,31.814285714285575
1843,-69,-16,-16,-21,-16,-19,21.212121212121204,63.994962820820334,1,77.0000000000004
1844,-67,-15,-15,-22,-15,-17,22.58064516129032,64.05523944997628,1,79.79999999999987
1845,-65,-16,-14,-21,-14,-17,22.58064516129032,58.35328689595124,1,106.50000000000048
1846,-66,-17,-15,-20,-14,-16,23.33333333333333,57.261645624727905,1,107.4909090909093
1847,-55,-13,-14,-16,-12,-14,25.0,55.007618632999566,1,76.8000000000002
1848,-52,-15,-14,-14,-9,-13,25.925925925925924,54.06290814105355,1,39.98571428571407
1849,-41,-11,-12,-11,-7,-9,32.0,49.8062690465825,1,53.83076923076935
1850,-34,-10,-12,-10,-2,-6,39.285714285714285,48.68088811493252,1,71.25714285714291
1851,-28,-9,-10,-7,-2,-7,37.93103448275862,51.06552024379625,1,54.33846153846233
1852,-17,-9,0,-7,-1,-7,37.93103448275862,48.14105354810622,1,68.06153846153795
1853,-12,-7,-1,-4,0,-5,40.74074074074074,44.67458043389276,1,65.16666666666725
1882,-12,-1,-2,-3,-6,-1,45.45454545454546,34.84543670264966,1,2.2999999999995246
1883,-15,-3,-4,-2,-6,-3,38.46153846153846,32.66315014720314,1,9.700000000000264
1884,-17,-3,-6,-2,-6,-3,38.46153846153846,32.580961727183514,1,12.750000000000261
1885,-14,-3,-6,-2,-3,-2,42.857142857142854,33.352551521099116,1,30.400000000000425
1886,-14,-3,-6,-2,-3,-2,42.857142857142854,34.78410206084396,1,57.000000000000384
1897,-25,-5,-5,-7,-8,-9,28.57142857142857,43.56644144144144,1,6.633333333333491
1898,-27,-7,-5,-7,-8,-7,31.578947368421055,33.3136,0,0.0
1900,-36,-7,-8,-10,-11,-9,23.529411764705884,39.7976,1,9.545454545454302
1901,-36,-7,-10,-11,-8,-10,18.75,41.38186857981412,1,15.209090909090728
1902,-35,-7,-11,-11,-6,-8,27.77777777777777,41.817218327083,1,41.87272727272595
1903,-28,-7,-7,-9,-5,-6,31.25,41.93298548834176,1,85.79999999999922
1904,-30,-10,-6,-9,-5,-7,29.411764705882362,41.6060655470406,0,0.0
1905,-28,-12,-5,-9,-2,-7,29.411764705882362,41.476438936898745,1,165.93333333333237
1906,-26,-11,-5,-9,-1,-10,25.0,41.09978803195826,1,33.94285714285683
1964,-9,-3,-3,-2,-1,-3,28.57142857142857,45.87708830548925,1,43.1999999999999
1967,-13,-3,-3,-3,-4,-2,39.99999999999999,41.53341288782816,1,23.400000000000087
1968,-10,-3,-3,-3,-1,-3,33.33333333333333,42.70087509944312,1,20.950000000000692
1973,-3,-1,0,-2,0,-2,39.99999999999999,44.113876319758674,1,2.300000000000635
2016,-20,-4,-3,-7,-6,-4,37.5,37.843230403800476,1,23.328571428571365
2017,-22,-4,-5,-7,-6,-4,37.5,61.972984942426926,1,22.74285714285673
2018,-27,-8,-6,-7,-6,-5,35.294117647058826,32.46120792551921,1,111.53333333333349
2019,-26,-8,-7,-7,-4,-6,31.25,37.386010981141084,1,108.38571428571476
2020,-26,-8,-7,-7,-4,-6,31.25,37.170032879286055,1,90.00000000000009
2021,-23,-7,-5,-7,-4,-6,31.25,36.59464537341475,1,2.807692307692511
2030,-6,-1,-1,-3,-1,-1,44.44444444444444,28.254541220307406,1,6.500000000000394
2033,-9,-4,-3,-1,-1,-1,39.99999999999999,27.10415745245467,1,52.39999999999911
2034,-8,-4,-2,-1,-1,-1,39.99999999999999,26.341220698805838,1,26.361538461537883
2035,-6,-3,-2,-1,0,-2,25.0,25.507518796992485,1,3.8571428571432254
2052,-35,-7,-8,-12,-8,-9,9.090909090909093,66.75881133379406,1,5.600000000000049
