ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
623,14,3,3,4,4,3,71.42857142857143,37.2951036030091,1,3.7999999999982492
626,13,4,5,3,1,1,53.33333333333333,29.18606741573034,1,83.53333333333435
650,12,2,3,4,3,1,52.94117647058823,34.64525765496639,1,14.799999999999258
651,12,2,3,4,3,2,55.55555555555556,38.167008961911876,1,5.345454545455652
652,16,4,5,4,3,2,55.55555555555556,39.26017550410755,1,71.43333333333501
653,15,4,5,3,3,2,55.55555555555556,39.17755787901419,1,54.22857142857174
672,31,8,6,9,8,5,69.23076923076923,42.49849170437406,1,44.200000000000905
673,32,8,8,9,7,7,73.33333333333333,44.13574660633484,0,0.0
674,33,8,9,9,7,9,76.47058823529412,46.917797888386126,1,2.9714285714277366
675,32,8,8,9,7,9,76.47058823529412,51.0,1,8.576923076923926
676,29,9,8,6,6,8,75.0,53.426847662141775,0,0.0
680,19,2,6,2,9,7,70.58823529411765,54.085811384876806,1,8.399999999999519
684,7,2,3,1,1,1,54.54545454545455,41.27027854300581,0,0.0
708,30,10,7,8,5,1,51.85185185185185,38.254688445251055,1,90.99999999999886
738,20,6,3,6,5,2,55.0,35.146703486365205,1,9.399999999999409
739,20,6,3,6,5,1,52.631578947368425,34.67621677597515,1,8.933333333334126
740,22,6,5,6,5,5,66.66666666666666,32.33931653434588,1,53.90000000000006
741,20,6,7,4,3,4,64.28571428571428,29.2019145902641,1,67.39999999999746
742,10,6,2,0,2,3,61.53846153846154,32.83924458774758,1,15.409090909088707
744,10,5,2,1,2,4,62.50000000000001,30.028097650852143,1,7.145454545454122
765,69,19,11,19,20,18,87.5,41.056133056133056,0,0.0
766,69,19,13,19,18,15,85.71428571428571,38.53586278586278,0,0.0
767,68,19,15,16,18,15,85.71428571428571,35.08264033264033,0,0.0
768,69,19,19,15,16,15,85.71428571428571,36.54158004158005,0,0.0
769,59,17,18,9,15,15,85.71428571428571,38.87162162162162,0,0.0
770,55,17,17,6,15,15,85.71428571428571,41.0945945945946,0,0.0
771,43,10,16,4,13,14,85.0,44.978170478170476,0,0.0
814,10,4,3,1,2,3,63.63636363636363,47.2612168592794,1,3.4454545454565277
872,47,13,4,18,12,7,58.53658536585366,21.8916166380789,1,13.266666666666982
873,49,13,9,18,9,5,56.41025641025641,25.29909948542024,1,130.47142857142813
874,50,14,9,19,8,3,53.65853658536585,26.661931818181817,1,156.8999999999998
875,47,14,10,19,4,5,55.81395348837209,28.02824828473413,1,142.31111111111085
